district_name,latitude,longitude,elevation_m,agro_climatic_zone,coastal_status,predominant_soil_type,season,N,P,K,pH,Rainfall,Temperature,Humidity,Crop
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,30.47,48.82,46.2,6.1,594.7,24.23,58.79,Groundnut
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,28.67,42.68,60.06,5.64,641.22,31.86,65.33,Groundnut
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,24.96,35.05,41.05,5.49,520.75,30.95,60.35,Groundnut
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,25.06,51.27,42.82,6.43,506.24,24.36,71.31,Groundnut
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,26.02,34.23,50.62,5.84,600.59,29.66,64.59,Groundnut
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,40.07,27.32,60.85,6.6,517.03,25.85,69.94,Groundnut
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,29.42,52.73,56.03,6.7,452.63,28.34,62.14,Groundnut
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,27.06,27.53,49.96,6.43,655.52,23.47,61.07,Groundnut
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,23.99,41.03,47.28,6.42,644.11,24.14,61.74,Groundnut
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,27.52,46.76,40.73,5.61,667.41,22.4,63.38,Groundnut
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,38.65,27.31,44.09,6.76,493.36,27.43,71.43,Ragi
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,50.69,36.93,47.71,6.48,415.23,25.85,62.0,Ragi
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,57.04,37.04,55.86,6.85,400.87,22.89,58.92,Ragi
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,59.94,20.05,45.91,5.79,680.75,26.74,62.11,Ragi
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,68.0,24.81,43.84,7.2,476.06,26.74,70.27,Ragi
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,41.61,20.45,44.58,5.46,441.86,28.33,82.78,Ragi
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,67.65,31.17,34.73,5.35,699.99,27.67,78.92,Ragi
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,54.81,32.54,34.86,5.73,459.93,26.88,56.63,Ragi
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,63.02,30.97,28.68,5.45,552.12,26.92,60.49,Ragi
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,50.6,36.88,41.88,5.61,710.83,27.14,76.99,Ragi
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,58.45,35.81,33.22,6.55,422.68,22.74,68.41,Ragi
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,60.71,31.99,40.8,6.74,690.17,25.59,81.25,Ragi
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,38.51,20.09,36.8,6.3,749.9,23.78,77.02,Ragi
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,34.42,18.21,45.19,6.33,673.74,29.69,63.44,Ragi
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,58.62,25.82,53.33,6.96,766.84,23.92,64.84,Ragi
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,41.38,22.4,38.75,6.95,713.74,22.65,77.99,Ragi
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,55.47,19.23,55.52,6.11,451.66,22.32,64.39,Ragi
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,52.42,22.24,43.37,5.01,673.7,24.84,71.84,Ragi
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,58.34,19.07,40.86,6.54,407.15,25.42,63.83,Ragi
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,37.15,31.13,36.25,5.4,713.79,26.8,59.05,Ragi
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,30.83,49.89,22.23,7.32,394.62,28.35,75.76,Moong(Green Gram)
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,32.47,49.83,37.79,6.23,579.02,30.52,58.62,Moong(Green Gram)
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,28.19,36.54,41.57,7.29,641.41,27.24,67.59,Moong(Green Gram)
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,27.5,46.85,41.35,6.3,555.26,28.23,60.4,Moong(Green Gram)
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,22.3,39.18,45.85,6.36,390.06,29.87,56.2,Moong(Green Gram)
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,35.21,40.65,34.89,6.34,649.54,29.13,75.07,Moong(Green Gram)
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,21.3,30.26,33.02,7.3,650.14,26.43,58.43,Moong(Green Gram)
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,36.49,36.22,42.55,6.12,494.67,30.51,77.81,Moong(Green Gram)
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,36.73,46.79,43.55,7.13,545.47,31.51,76.53,Moong(Green Gram)
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,32.85,37.28,37.04,7.6,509.92,30.86,69.06,Moong(Green Gram)
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,27.16,47.8,42.52,6.15,458.32,28.01,68.04,Moong(Green Gram)
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,24.71,35.31,35.31,6.7,484.81,31.29,66.12,Moong(Green Gram)
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,29.22,38.46,36.56,7.13,410.34,32.42,77.03,Moong(Green Gram)
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,21.41,39.12,25.71,7.01,390.8,29.77,70.39,Moong(Green Gram)
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,19.2,42.55,38.05,6.29,422.65,33.64,67.52,Moong(Green Gram)
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,30.38,47.51,26.1,7.03,451.18,31.89,64.47,Moong(Green Gram)
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,39.0,30.61,40.04,6.13,436.52,30.38,58.02,Moong(Green Gram)
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,32.99,37.73,29.05,7.52,675.42,27.1,66.61,Moong(Green Gram)
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,21.32,41.76,24.65,6.46,484.2,24.09,73.47,Moong(Green Gram)
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,31.29,39.61,34.27,7.56,622.38,31.94,65.87,Moong(Green Gram)
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,18.68,40.92,25.29,6.36,620.02,30.61,55.67,Urad
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,35.11,38.11,37.07,6.07,444.19,31.79,53.83,Urad
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,19.8,36.0,33.05,6.56,419.08,33.45,72.88,Urad
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,36.72,48.12,27.9,5.82,581.66,31.01,62.36,Urad
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,26.55,44.29,18.8,6.06,382.63,28.66,64.18,Urad
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,20.64,43.07,31.74,5.99,398.86,33.91,55.2,Urad
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,24.22,28.24,28.14,6.95,475.27,29.01,73.24,Urad
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,22.53,47.79,21.77,6.47,403.68,27.33,71.16,Urad
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,15.73,40.0,27.61,6.35,497.39,30.02,62.48,Urad
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,35.71,47.37,27.39,6.22,547.33,31.38,69.34,Urad
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,16.22,44.34,30.81,5.95,480.94,30.89,63.57,Urad
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,24.23,32.34,35.4,6.31,542.77,29.36,59.83,Urad
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,28.13,49.38,40.48,7.25,587.87,31.71,62.75,Urad
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,22.57,38.71,25.59,6.03,589.81,30.7,61.55,Urad
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,36.63,36.67,40.3,6.99,388.0,26.83,74.74,Urad
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,30.85,46.05,35.51,7.28,605.19,30.33,64.51,Urad
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,27.9,39.01,21.86,7.39,531.22,26.79,58.52,Urad
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,25.0,36.32,23.02,6.95,500.94,25.57,59.95,Urad
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,29.7,39.7,37.64,5.9,565.73,31.84,55.83,Urad
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,33.58,41.76,39.81,6.76,435.41,30.91,66.57,Urad
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif_Late,18.47,18.51,27.34,6.27,539.92,27.48,58.67,Horse Gram
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif_Late,20.15,15.6,13.17,5.49,505.61,27.2,57.83,Horse Gram
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif_Late,17.68,25.71,18.08,6.31,462.44,26.56,54.58,Horse Gram
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif_Late,24.73,29.5,18.15,6.96,315.31,28.19,58.05,Horse Gram
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif_Late,30.66,19.95,22.44,6.46,454.95,30.35,54.12,Horse Gram
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif_Late,26.03,23.03,22.69,5.65,395.27,23.88,68.84,Horse Gram
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif_Late,28.88,27.31,25.71,6.24,444.97,23.18,61.85,Horse Gram
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif_Late,23.9,27.54,30.61,5.77,521.83,24.61,62.53,Horse Gram
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif_Late,29.05,23.59,34.58,6.97,538.26,26.17,63.13,Horse Gram
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif_Late,29.98,15.17,31.26,6.6,476.92,25.94,66.11,Horse Gram
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif_Late,30.57,29.63,19.45,6.97,325.65,27.75,60.21,Horse Gram
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif_Late,24.19,31.92,28.27,6.46,528.16,21.93,64.42,Horse Gram
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif_Late,14.34,30.66,35.0,6.07,411.09,26.12,59.51,Horse Gram
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif_Late,20.44,26.09,21.14,6.34,575.4,28.47,56.86,Horse Gram
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif_Late,26.71,19.1,27.92,6.98,402.04,25.48,62.08,Horse Gram
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif_Late,27.66,31.11,29.63,5.97,459.22,27.5,49.15,Horse Gram
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif_Late,24.93,16.77,23.01,7.0,326.72,24.77,66.67,Horse Gram
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif_Late,18.47,30.45,24.52,5.48,290.44,27.18,57.83,Horse Gram
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif_Late,31.42,26.7,34.31,5.49,456.37,26.73,66.69,Horse Gram
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif_Late,30.7,31.12,28.98,6.19,430.0,27.17,71.64,Horse Gram
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,33.07,31.66,22.09,6.86,493.21,34.59,62.24,Sesamum
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,29.86,29.05,20.77,6.93,467.13,29.18,52.07,Sesamum
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,34.73,27.62,20.4,6.52,568.37,29.55,67.39,Sesamum
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,29.44,29.93,37.49,7.11,492.55,33.22,68.33,Sesamum
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,22.55,23.4,26.07,5.89,535.5,26.08,64.41,Sesamum
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,17.9,33.09,43.36,7.25,445.64,25.76,47.2,Sesamum
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,30.38,35.9,37.25,6.74,465.88,30.4,65.39,Sesamum
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,42.95,35.06,33.17,6.7,352.44,31.74,57.78,Sesamum
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,40.06,19.73,33.32,6.06,481.14,29.46,61.2,Sesamum
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,24.08,29.72,43.15,6.46,548.14,24.96,63.39,Sesamum
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,24.44,38.18,31.99,6.33,519.76,30.0,59.79,Sesamum
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,32.02,22.92,42.43,7.01,500.76,24.98,59.4,Sesamum
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,45.59,33.01,34.62,5.75,565.82,28.21,71.64,Sesamum
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,46.43,21.96,40.42,6.34,462.47,33.01,61.09,Sesamum
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,30.17,26.43,38.21,7.5,511.06,34.66,66.21,Sesamum
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,42.03,21.01,34.77,7.25,413.83,31.34,64.5,Sesamum
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,38.27,37.92,19.15,5.91,540.72,32.0,54.43,Sesamum
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,42.58,35.54,32.61,5.79,564.6,24.45,57.87,Sesamum
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,23.74,27.09,24.83,7.21,425.27,25.34,55.22,Sesamum
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,41.8,27.6,33.18,6.26,562.77,30.45,56.33,Sesamum
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Rabi,95.59,69.54,65.66,6.15,117.25,20.75,67.87,Potato
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Rabi,92.09,60.55,65.28,6.06,153.61,16.22,67.59,Potato
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Rabi,86.23,60.09,96.24,6.46,271.23,16.97,66.32,Potato
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Rabi,94.61,81.91,71.33,6.13,214.85,16.98,69.04,Potato
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Rabi,74.84,49.28,98.17,6.24,178.21,15.44,76.39,Potato
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Rabi,85.82,57.08,79.25,6.12,79.21,15.06,71.22,Potato
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Rabi,70.1,79.46,62.54,4.92,230.8,14.84,58.34,Potato
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Rabi,88.6,87.35,77.91,6.17,171.2,22.89,57.08,Potato
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Rabi,73.15,66.79,80.9,6.33,189.61,21.25,65.38,Potato
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Rabi,78.68,61.64,83.74,5.14,120.26,14.64,61.12,Potato
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Rabi,95.88,57.69,94.85,6.17,225.75,16.53,60.38,Potato
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Rabi,74.04,53.2,103.01,5.79,199.48,18.3,58.04,Potato
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Rabi,90.45,55.65,83.72,5.4,191.33,21.72,60.79,Potato
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Rabi,95.29,85.33,100.15,6.42,248.5,22.22,69.99,Potato
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Rabi,83.37,57.81,87.59,5.17,241.2,14.51,59.2,Potato
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Rabi,101.21,75.23,64.42,5.64,248.48,16.55,60.54,Potato
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Rabi,106.99,63.56,97.31,5.38,87.29,18.76,72.29,Potato
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Rabi,71.64,51.65,75.92,6.27,212.21,20.03,63.88,Potato
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Rabi,109.29,65.94,85.72,5.15,117.53,16.4,57.22,Potato
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Rabi,88.15,77.52,94.66,6.06,67.73,21.3,64.75,Potato
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Rabi,50.56,21.65,42.86,6.35,203.33,16.93,70.14,Rapeseed &Mustard
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Rabi,63.38,42.96,40.28,7.36,173.08,18.75,54.97,Rapeseed &Mustard
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Rabi,69.84,26.17,23.46,7.15,243.06,20.85,59.47,Rapeseed &Mustard
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Rabi,61.34,48.14,43.39,6.36,289.58,17.49,59.29,Rapeseed &Mustard
