district_id,district_name,crop_id,crop_name,agricultural_year,season,irrigated_area_ha,rainfed_area_ha,irrigation_percentage,fertilizer_n_kg_ha,fertilizer_p_kg_ha,fertilizer_k_kg_ha,organic_manure_tonnes_ha,seed_rate_kg_ha,pesticide_use,farm_mechanization_index,number_of_irrigations,water_availability_index,source_name,source_year,data_status,season_id,crop_scope
DST11,Ganjam,,All Crops,2019-20,Kharif+Rabi,,,,50.26,11.82,6.6,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST12,Jagatsinghpur,,All Crops,2019-20,Kharif+Rabi,,,,28.96,16.78,5.51,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST13,Jajpur,,All Crops,2019-20,Kharif+Rabi,,,,44.22,24.2,12.23,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST14,Jharsuguda,,All Crops,2019-20,Kharif+Rabi,,,,44.39,20.71,6.7,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST15,Kalahandi,,All Crops,2019-20,Kharif+Rabi,,,,47.76,20.84,10.07,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST16,Kandhamal,,All Crops,2019-20,Kharif+Rabi,,,,11.71,17.23,6.7,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST17,Kendrapara,,All Crops,2019-20,Kharif+Rabi,,,,21.21,11.62,2.08,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST18,Kendujhar,,All Crops,2019-20,Kharif+Rabi,,,,26.51,14.16,4.04,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST19,Khordha,,All Crops,2019-20,Kharif+Rabi,,,,43.12,20.5,10.14,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST20,Koraput,,All Crops,2019-20,Kharif+Rabi,,,,39.76,16.8,11.31,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST21,Malkangiri,,All Crops,2019-20,Kharif+Rabi,,,,27.87,12.73,5.89,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST22,Mayurbhanj,,All Crops,2019-20,Kharif+Rabi,,,,31.78,14.53,5.01,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST23,Nabarangpur,,All Crops,2019-20,Kharif+Rabi,,,,118.65,30.71,15.59,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST24,Nayagarh,,All Crops,2019-20,Kharif+Rabi,,,,17.6,5.95,2.66,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST25,Nuapada,,All Crops,2019-20,Kharif+Rabi,,,,22.83,11.53,4.1,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST26,Puri,,All Crops,2019-20,Kharif+Rabi,,,,52.03,23.88,17.83,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST27,Rayagada,,All Crops,2019-20,Kharif+Rabi,,,,45.79,14.83,9.1,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST28,Sambalpur,,All Crops,2019-20,Kharif+Rabi,,,,96.28,39.17,17.69,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST29,Subarnapur,,All Crops,2019-20,Kharif+Rabi,,,,35.8,15.59,7.59,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST30,Sundargarh,,All Crops,2019-20,Kharif+Rabi,,,,23.72,11.91,4.57,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
