observation_id,district_id,district_name,crop_id,crop_name,season_id,season_name,agricultural_year,latitude,longitude,soil_ph,nitrogen,phosphorus,potassium,soil_moisture,rainfall_mm,temperature_mean_c,temperature_min_c,temperature_max_c,irrigation_status,soil_type,sowing_date,harvest_date,area_ha,yield_tonnes_per_ha,crop_actual,provenance_status,provenance_note,g_lat,g_lon,dist_deg,original_latitude,original_longitude,coordinate_status
OBS0000047,DST02,Balangir,CRP005,Moong(Green Gram),SEA02,Rabi,2023,20.72,83.48,6.34,59.8,28.9,61.02,42.52,1033.58,24.63,19.46,30.77,Rainfed,Sandy loam,2023-10-24,2024-01-02,5211.533,1.027,Moong(Green Gram),SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.72,83.48,2.490790821747184,18.43149,82.49676,district_reference_coordinates_used_for_prototype
OBS0000048,DST02,Balangir,CRP005,Moong(Green Gram),SEA02,Rabi,2024,20.72,83.48,6.25,55.1,17.46,51.79,23.6,983.26,29.1,22.55,35.64,Rainfed,Loam,2024-10-20,2024-12-29,3505.834,0.985,Moong(Green Gram),SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.72,83.48,2.4458276416174565,18.47389,82.51198,district_reference_coordinates_used_for_prototype
OBS0000049,DST02,Balangir,CRP007,Ragi,SEA01,Kharif,2022,20.72,83.48,5.82,35.77,49.26,62.16,22.96,1148.56,26.3,19.17,33.23,Irrigated,Loam,2022-06-07,2022-09-25,2420.861,0.696,Ragi,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.72,83.48,2.4677103563019687,18.45135,82.50901,district_reference_coordinates_used_for_prototype
OBS0000050,DST02,Balangir,CRP007,Ragi,SEA01,Kharif,2023,20.72,83.48,6.28,33.55,17.44,66.23,39.04,1255.58,25.4,17.37,31.13,Rainfed,Lateritic,2023-06-08,2023-09-26,2139.893,0.672,Ragi,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.72,83.48,2.4787134292814104,18.44342,82.49959,district_reference_coordinates_used_for_prototype
OBS0000051,DST02,Balangir,CRP007,Ragi,SEA01,Kharif,2024,20.72,83.48,6.14,37.8,39.97,25.64,18.8,1101.88,22.86,16.55,28.55,Rainfed,Sandy loam,2024-06-12,2024-09-30,1876.092,0.747,Ragi,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.72,83.48,2.4744633209041487,18.44912,82.49711,district_reference_coordinates_used_for_prototype
OBS0000052,DST02,Balangir,CRP009,Rice,SEA01,Kharif,2022,20.72,83.48,6.34,54.91,18.52,35.83,21.59,1276.63,23.82,15.08,32.39,Irrigated,Alluvial,2022-06-23,2022-10-21,19448.583,2.79,Rice,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.72,83.48,2.4825407980131953,18.44583,82.48443,district_reference_coordinates_used_for_prototype
OBS0000053,DST02,Balangir,CRP009,Rice,SEA01,Kharif,2023,20.72,83.48,6.14,76.1,27.06,31.79,19.74,1090.82,24.49,18.24,32.28,Rainfed,Lateritic,2023-06-07,2023-10-05,23683.126,2.575,Rice,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.72,83.48,2.459473224676373,18.45945,82.51102,district_reference_coordinates_used_for_prototype
OBS0000054,DST02,Balangir,CRP009,Rice,SEA01,Kharif,2024,20.72,83.48,6.72,44.7,47.91,63.95,21.73,1172.46,24.41,17.37,31.31,Rainfed,Loam,2024-06-10,2024-10-08,18810.343,2.976,Rice,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.72,83.48,2.461726440732195,18.46311,82.49687,district_reference_coordinates_used_for_prototype
OBS0000055,DST02,Balangir,CRP010,Sesamum,SEA01,Kharif,2022,20.72,83.48,5.71,67.33,18.37,40.89,36.43,1268.52,28.32,22.46,34.15,Rainfed,Red,2022-06-10,2022-09-18,2077.987,0.453,Sesamum,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.72,83.48,2.489296159901427,18.43719,82.48734,district_reference_coordinates_used_for_prototype
OBS0000056,DST02,Balangir,CRP010,Sesamum,SEA01,Kharif,2023,20.72,83.48,6.12,33.68,27.34,45.44,34.26,890.54,26.0,20.97,32.06,Rainfed,Loam,2023-06-19,2023-09-27,2051.223,0.558,Sesamum,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.72,83.48,2.469958021606847,18.45638,82.49171,district_reference_coordinates_used_for_prototype
OBS0000057,DST02,Balangir,CRP010,Sesamum,SEA01,Kharif,2024,20.72,83.48,6.05,71.85,46.29,35.4,23.01,843.36,24.28,18.39,30.54,Rainfed,Red,2024-06-02,2024-09-10,2046.408,0.567,Sesamum,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.72,83.48,2.4824070133843863,18.44365,82.48976,district_reference_coordinates_used_for_prototype
OBS0000058,DST02,Balangir,CRP012,Urad,SEA02,Rabi,2022,20.72,83.48,6.03,37.21,23.55,45.75,28.59,752.66,26.36,20.11,35.29,Rainfed,Sandy loam,2022-10-21,2023-01-09,700.777,1.07,Urad,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.72,83.48,2.456726467883634,18.46298,82.50976,district_reference_coordinates_used_for_prototype
OBS0000059,DST02,Balangir,CRP012,Urad,SEA02,Rabi,2023,20.72,83.48,6.37,58.49,29.1,22.42,21.46,1002.26,32.62,25.15,41.34,Rainfed,Alluvial,2023-10-24,2024-01-12,814.551,1.229,Urad,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.72,83.48,2.467989543737978,18.45698,82.49526,district_reference_coordinates_used_for_prototype
OBS0000060,DST02,Balangir,CRP012,Urad,SEA02,Rabi,2024,20.72,83.48,6.2,44.87,27.61,42.19,23.79,1150.84,27.79,19.91,34.93,Rainfed,Loam,2024-10-02,2024-12-21,887.8,1.154,Urad,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.72,83.48,2.484931769888264,18.44091,82.48973,district_reference_coordinates_used_for_prototype
